trial_balance_id,date,account,balance_cents
TB-2025-05-5100,2025-05-31,5100,219000000
TB-2025-05-5110,2025-05-31,5110,17520000
TB-2025-05-5200,2025-05-31,5200,1500000
TB-2025-05-5300,2025-05-31,5300,450000
TB-2025-05-5400,2025-05-31,5400,17500
TB-2025-06-1000,2025-06-30,1000,954829226
TB-2025-06-1100,2025-06-30,1100,98498684
TB-2025-06-1110,2025-06-30,1110,36683830
TB-2025-06-1200,2025-06-30,1200,58958277
TB-2025-06-1300,2025-06-30,1300,1800000
TB-2025-06-1500,2025-06-30,1500,5400000
TB-2025-06-1510,2025-06-30,1510,-600000
TB-2025-06-2000,2025-06-30,2000,-11525610
TB-2025-06-2100,2025-06-30,2100,-12264000
TB-2025-06-2200,2025-06-30,2200,-30600000
TB-2025-06-2300,2025-06-30,2300,0
TB-2025-06-3000,2025-06-30,3000,-1200000000
TB-2025-06-4000,2025-06-30,4000,-246600000
TB-2025-06-4010,2025-06-30,4010,-6273262
TB-2025-06-5000,2025-06-30,5000,65447855
TB-2025-06-5100,2025-06-30,5100,262800000
TB-2025-06-5110,2025-06-30,5110,21024000
TB-2025-06-5200,2025-06-30,5200,1800000
TB-2025-06-5300,2025-06-30,5300,600000
TB-2025-06-5400,2025-06-30,5400,21000
TB-2025-07-1000,2025-07-31,1000,929868283
TB-2025-07-1100,2025-07-31,1100,91167110
TB-2025-07-1110,2025-07-31,1110,49782535
TB-2025-07-1200,2025-07-31,1200,56858073
TB-2025-07-1300,2025-07-31,1300,1500000
TB-2025-07-1500,2025-07-31,1500,5400000
TB-2025-07-1510,2025-07-31,1510,-750000
TB-2025-07-2000,2025-07-31,2000,-11373921
TB-2025-07-2100,2025-07-31,2100,-12264000
TB-2025-07-2200,2025-07-31,2200,-25500000
TB-2025-07-2300,2025-07-31,2300,0
TB-2025-07-3000,2025-07-31,3000,-1200000000
TB-2025-07-4000,2025-07-31,4000,-287700000
TB-2025-07-4010,2025-07-31,4010,-7351223
TB-2025-07-5000,2025-07-31,5000,76360643
TB-2025-07-5100,2025-07-31,5100,306600000
TB-2025-07-5110,2025-07-31,5110,24528000
TB-2025-07-5200,2025-07-31,5200,2100000
TB-2025-07-5300,2025-07-31,5300,750000
TB-2025-07-5400,2025-07-31,5400,24500
TB-2025-08-1000,2025-08-31,1000,904084166
TB-2025-08-1100,2025-08-31,1100,98778910
TB-2025-08-1110,2025-08-31,1110,48160719
TB-2025-08-1200,2025-08-31,1200,55772469
TB-2025-08-1300,2025-08-31,1300,1200000
TB-2025-08-1500,2025-08-31,1500,5400000
TB-2025-08-1510,2025-08-31,1510,-900000
TB-2025-08-2000,2025-08-31,2000,-11626695
TB-2025-08-2100,2025-08-31,2100,-12264000
TB-2025-08-2200,2025-08-31,2200,-20400000
TB-2025-08-2300,2025-08-31,2300,0
TB-2025-08-3000,2025-08-31,3000,-1200000000
TB-2025-08-4000,2025-08-31,4000,-328800000
TB-2025-08-4010,2025-08-31,4010,-8425445
TB-2025-08-5000,2025-08-31,5000,87259876
TB-2025-08-5100,2025-08-31,5100,350400000
TB-2025-08-5110,2025-08-31,5110,28032000
TB-2025-08-5200,2025-08-31,5200,2400000
TB-2025-08-5300,2025-08-31,5300,900000
TB-2025-08-5400,2025-08-31,5400,28000
TB-2025-09-1000,2025-09-30,1000,868833205
TB-2025-09-1100,2025-09-30,1100,106040443
TB-2025-09-1110,2025-09-30,1110,46569973
TB-2025-09-1200,2025-09-30,1200,58690560
TB-2025-09-1300,2025-09-30,1300,900000
TB-2025-09-1500,2025-09-30,1500,10800000
TB-2025-09-1510,2025-09-30,1510,-1200000
TB-2025-09-2000,2025-09-30,2000,-11549844
TB-2025-09-2100,2025-09-30,2100,-12264000
TB-2025-09-2200,2025-09-30,2200,-15300000
TB-2025-09-2300,2025-09-30,2300,0
TB-2025-09-3000,2025-09-30,3000,-1200000000
TB-2025-09-4000,2025-09-30,4000,-369900000
TB-2025-09-4010,2025-09-30,4010,-9460677
TB-2025-09-5000,2025-09-30,5000,98172840
TB-2025-09-5100,2025-09-30,5100,394200000
TB-2025-09-5110,2025-09-30,5110,31536000
TB-2025-09-5200,2025-09-30,5200,2700000
TB-2025-09-5300,2025-09-30,5300,1200000
TB-2025-09-5400,2025-09-30,5400,31500
TB-2025-10-1000,2025-10-31,1000,843990836
TB-2025-10-1100,2025-10-31,1100,98495380
TB-2025-10-1110,2025-10-31,1110,59673765
TB-2025-10-1200,2025-10-31,1200,56655582
TB-2025-10-1300,2025-10-31,1300,600000
TB-2025-10-1500,2025-10-31,1500,10800000
TB-2025-10-1510,2025-10-31,1510,-1500000
TB-2025-10-2000,2025-10-31,2000,-11396523
TB-2025-10-2100,2025-10-31,2100,-12264000
TB-2025-10-2200,2025-10-31,2200,-10200000
TB-2025-10-2300,2025-10-31,2300,0
TB-2025-10-3000,2025-10-31,3000,-1200000000
TB-2025-10-4000,2025-10-31,4000,-411000000
TB-2025-10-4010,2025-10-31,4010,-10542505
TB-2025-10-5000,2025-10-31,5000,109112465
TB-2025-10-5100,2025-10-31,5100,438000000
TB-2025-10-5110,2025-10-31,5110,35040000
TB-2025-10-5200,2025-10-31,5200,3000000
TB-2025-10-5300,2025-10-31,5300,1500000
TB-2025-10-5400,2025-10-31,5400,35000
TB-2025-11-1000,2025-11-30,1000,814163369
TB-2025-11-1100,2025-11-30,1100,106035904
TB-2025-11-1110,2025-11-30,1110,58060418
TB-2025-11-1200,2025-11-30,1200,59359443
TB-2025-11-1300,2025-11-30,1300,300000
TB-2025-11-1500,2025-11-30,1500,10800000
TB-2025-11-1510,2025-11-30,1510,-1800000
TB-2025-11-2000,2025-11-30,2000,-11353939
TB-2025-11-2100,2025-11-30,2100,-12264000
TB-2025-11-2200,2025-11-30,2200,-5100000
TB-2025-11-2300,2025-11-30,2300,0
TB-2025-11-3000,2025-11-30,3000,-1200000000
TB-2025-11-4000,2025-11-30,4000,-452100000
TB-2025-11-4010,2025-11-30,4010,-11586390
TB-2025-11-5000,2025-11-30,5000,120002695
TB-2025-11-5100,2025-11-30,5100,481800000
TB-2025-11-5110,2025-11-30,5110,38544000
TB-2025-11-5200,2025-11-30,5200,3300000
TB-2025-11-5300,2025-11-30,5300,1800000
TB-2025-11-5400,2025-11-30,5400,38500
TB-2025-12-1000,2025-12-31,1000,790540613
TB-2025-12-1100,2025-12-31,1100,113061560
TB-2025-12-1110,2025-12-31,1110,56246727
TB-2025-12-1200,2025-12-31,1200,56881537
TB-2025-12-1300,2025-12-31,1300,0
TB-2025-12-1500,2025-12-31,1500,10800000
TB-2025-12-1510,2025-12-31,1510,-2100000
TB-2025-12-2000,2025-12-31,2000,-11577250
TB-2025-12-2100,2025-12-31,2100,-12264000
TB-2025-12-2200,2025-12-31,2200,0
TB-2025-12-2300,2025-12-31,2300,0
TB-2025-12-3000,2025-12-31,3000,-1200000000
TB-2025-12-4000,2025-12-31,4000,-493200000
TB-2025-12-4010,2025-12-31,4010,-12664520
TB-2025-12-5000,2025-12-31,5000,130885333
TB-2025-12-5100,2025-12-31,5100,525600000
TB-2025-12-5110,2025-12-31,5110,42048000
TB-2025-12-5200,2025-12-31,5200,3600000
TB-2025-12-5300,2025-12-31,5300,2100000
TB-2025-12-5400,2025-12-31,5400,42000
TB-2026-01-1000,2026-01-31,1000,785535108
TB-2026-01-1100,2026-01-31,1100,110914345
TB-2026-01-1110,2026-01-31,1110,69736567
TB-2026-01-1200,2026-01-31,1200,86849562
TB-2026-01-1300,2026-01-31,1300,3300000
TB-2026-01-1500,2026-01-31,1500,10800000
TB-2026-01-1510,2026-01-31,1510,-2400000
TB-2026-01-2000,2026-01-31,2000,-11445969
TB-2026-01-2100,2026-01-31,2100,-12264000
TB-2026-01-2200,2026-01-31,2200,-56100000
TB-2026-01-2300,2026-01-31,2300,0
TB-2026-01-3000,2026-01-31,3000,-1200000000
TB-2026-01-4000,2026-01-31,4000,-534300000
TB-2026-01-4010,2026-01-31,4010,-13741497
TB-2026-01-5000,2026-01-31,5000,141818384
TB-2026-01-5100,2026-01-31,5100,569400000
TB-2026-01-5110,2026-01-31,5110,45552000
TB-2026-01-5200,2026-01-31,5200,3900000
TB-2026-01-5300,2026-01-31,5300,2400000
TB-2026-01-5400,2026-01-31,5400,45500
TB-2026-02-1000,2026-02-28,1000,775038641
TB-2026-02-1100,2026-02-28,1100,122379756
TB-2026-02-1110,2026-02-28,1110,67944641
TB-2026-02-1200,2026-02-28,1200,66505902
TB-2026-02-1300,2026-02-28,1300,3000000
TB-2026-02-1500,2026-02-28,1500,10800000
TB-2026-02-1510,2026-02-28,1510,-2700000
TB-2026-02-2000,2026-02-28,2000,-11516899
TB-2026-02-2100,2026-02-28,2100,-12264000
TB-2026-02-2200,2026-02-28,2200,-51000000
TB-2026-02-2300,2026-02-28,2300,0
TB-2026-02-3000,2026-02-28,3000,-1200000000
TB-2026-02-4000,2026-02-28,4000,-575400000
TB-2026-02-4010,2026-02-28,4010,-14716336
TB-2026-02-5000,2026-02-28,5000,152723295
TB-2026-02-5100,2026-02-28,5100,613200000
TB-2026-02-5110,2026-02-28,5110,49056000
TB-2026-02-5200,2026-02-28,5200,4200000
TB-2026-02-5300,2026-02-28,5300,2700000
TB-2026-02-5400,2026-02-28,5400,49000
TB-2026-03-1000,2026-03-31,1000,751705321
TB-2026-03-1100,2026-03-31,1100,131214981
TB-2026-03-1110,2026-03-31,1110,66143537
TB-2026-03-1200,2026-03-31,1200,56351290
TB-2026-03-1300,2026-03-31,1300,2700000
TB-2026-03-1500,2026-03-31,1500,16200000
TB-2026-03-1510,2026-03-31,1510,-3150000
TB-2026-03-2000,2026-03-31,2000,-11604672
TB-2026-03-2100,2026-03-31,2100,-12264000
TB-2026-03-2200,2026-03-31,2200,-45900000
TB-2026-03-2300,2026-03-31,2300,0
TB-2026-03-3000,2026-03-31,3000,-1200000000
TB-2026-03-4000,2026-03-31,4000,-616500000
TB-2026-03-4010,2026-03-31,4010,-15789663
TB-2026-03-5000,2026-03-31,5000,163630706
TB-2026-03-5100,2026-03-31,5100,657000000
TB-2026-03-5110,2026-03-31,5110,52560000
TB-2026-03-5200,2026-03-31,5200,4500000
TB-2026-03-5300,2026-03-31,5300,3150000
TB-2026-03-5400,2026-03-31,5400,52500
TB-2026-04-1000,2026-04-30,1000,722410272
TB-2026-04-1100,2026-04-30,1100,123242468
TB-2026-04-1110,2026-04-30,1110,79639603
TB-2026-04-1200,2026-04-30,1200,58763003
TB-2026-04-1300,2026-04-30,1300,2400000
TB-2026-04-1500,2026-04-30,1500,16200000
TB-2026-04-1510,2026-04-30,1510,-3600000
TB-2026-04-2000,2026-04-30,2000,-11436099
TB-2026-04-2100,2026-04-30,2100,-12264000
TB-2026-04-2200,2026-04-30,2200,-40800000
TB-2026-04-2300,2026-04-30,2300,0
TB-2026-04-3000,2026-04-30,3000,-1200000000
TB-2026-04-4000,2026-04-30,4000,-657600000
TB-2026-04-4010,2026-04-30,4010,-16820986
TB-2026-04-5000,2026-04-30,5000,174545739
TB-2026-04-5100,2026-04-30,5100,700800000
TB-2026-04-5110,2026-04-30,5110,56064000
TB-2026-04-5200,2026-04-30,5200,4800000
TB-2026-04-5300,2026-04-30,5300,3600000
TB-2026-04-5400,2026-04-30,5400,56000
TB-2026-05-1000,2026-05-31,1000,696926087
TB-2026-05-1100,2026-05-31,1100,131295961
TB-2026-05-1110,2026-05-31,1110,77825027
TB-2026-05-1200,2026-05-31,1200,56684505
TB-2026-05-1300,2026-05-31,1300,2100000
TB-2026-05-1500,2026-05-31,1500,16200000
TB-2026-05-1510,2026-05-31,1510,-4050000
TB-2026-05-2000,2026-05-31,2000,-11246655
TB-2026-05-2100,2026-05-31,2100,-12264000
TB-2026-05-2200,2026-05-31,2200,-35700000
TB-2026-05-2300,2026-05-31,2300,0
TB-2026-05-3000,2026-05-31,3000,-1200000000
TB-2026-05-4000,2026-05-31,4000,-698700000
TB-2026-05-4010,2026-05-31,4010,-17903539
TB-2026-05-5000,2026-05-31,5000,185455114
TB-2026-05-5100,2026-05-31,5100,744600000
TB-2026-05-5110,2026-05-31,5110,59568000
TB-2026-05-5200,2026-05-31,5200,5100000
TB-2026-05-5300,2026-05-31,5300,4050000
TB-2026-05-5400,2026-05-31,5400,59500
TB-2026-06-1000,2026-06-30,1000,668042871
TB-2026-06-1100,2026-06-30,1100,138411631
TB-2026-06-1110,2026-06-30,1110,76037207
TB-2026-06-1200,2026-06-30,1200,59504292
TB-2026-06-1300,2026-06-30,1300,1800000
TB-2026-06-1500,2026-06-30,1500,16200000
TB-2026-06-1510,2026-06-30,1510,-4500000
TB-2026-06-2000,2026-06-30,2000,-11659756
TB-2026-06-2100,2026-06-30,2100,-12264000
TB-2026-06-2200,2026-06-30,2200,-30600000
TB-2026-06-2300,2026-06-30,2300,-1800000
TB-2026-06-3000,2026-06-30,3000,-1200000000
TB-2026-06-4000,2026-06-30,4000,-739800000
TB-2026-06-4010,2026-06-30,4010,-18966310
TB-2026-06-5000,2026-06-30,5000,198159065
TB-2026-06-5100,2026-06-30,5100,788400000
TB-2026-06-5110,2026-06-30,5110,63072000
TB-2026-06-5200,2026-06-30,5200,5400000
TB-2026-06-5300,2026-06-30,5300,4500000
TB-2026-06-5400,2026-06-30,5400,63000
